referrer,device,continent,hour_bucket,sessions,purchases,carts
search,desktop,Americas,morning,9889,103,394
search,desktop,Americas,evening,9881,102,386
search,desktop,Americas,afternoon,9829,105,380
search,desktop,Americas,night,9756,113,380
search,mobile,Americas,evening,6882,88,285
search,mobile,Americas,night,6806,90,279
direct,desktop,Americas,evening,6795,87,282
direct,desktop,Americas,afternoon,6763,85,271
search,mobile,Americas,afternoon,6705,67,272
direct,desktop,Americas,morning,6697,85,278
direct,desktop,Americas,night,6659,90,333
search,mobile,Americas,morning,6655,83,272
other,desktop,Americas,evening,5988,98,292
other,desktop,Americas,night,5976,104,279
other,desktop,Americas,morning,5938,102,271
other,desktop,Americas,afternoon,5869,95,236
referral,desktop,Americas,evening,5160,75,239
referral,desktop,Americas,night,5096,86,221
referral,desktop,Americas,morning,5086,86,250
referral,desktop,Americas,afternoon,5061,81,209
direct,mobile,Americas,morning,4589,70,197
direct,mobile,Americas,afternoon,4581,62,207
direct,mobile,Americas,evening,4550,58,191
direct,mobile,Americas,night,4540,58,178
search,desktop,Asia,night,4218,40,163
search,desktop,Asia,evening,4216,45,159
other,mobile,Americas,night,4212,69,192
other,mobile,Americas,morning,4185,65,206
search,desktop,Asia,morning,4172,39,134
search,desktop,Asia,afternoon,4148,48,161
other,mobile,Americas,afternoon,4098,63,193
other,mobile,Americas,evening,4058,71,193
referral,mobile,Americas,afternoon,3535,63,162
referral,mobile,Americas,evening,3520,61,175
referral,mobile,Americas,morning,3508,54,171
referral,mobile,Americas,night,3452,64,165
search,desktop,Europe,evening,3366,43,138
search,desktop,Europe,morning,3343,31,121
search,desktop,Europe,afternoon,3310,19,111
search,desktop,Europe,night,3306,38,111
search,mobile,Asia,morning,3014,29,113
search,mobile,Asia,night,3003,38,125
search,mobile,Asia,afternoon,2938,37,104
direct,desktop,Asia,night,2910,35,117
search,mobile,Asia,evening,2900,24,94
direct,desktop,Asia,afternoon,2896,34,132
direct,desktop,Asia,morning,2896,27,128
direct,desktop,Asia,evening,2862,34,117
other,desktop,Asia,night,2645,39,113
other,desktop,Asia,afternoon,2637,47,110
other,desktop,Asia,evening,2601,40,133
other,desktop,Asia,morning,2480,29,116
direct,desktop,Europe,night,2409,32,99
search,mobile,Europe,afternoon,2276,30,88
search,mobile,Europe,evening,2267,30,83
search,mobile,Europe,morning,2259,21,85
search,mobile,Europe,night,2258,27,84
direct,desktop,Europe,afternoon,2215,38,85
direct,desktop,Europe,morning,2215,29,87
direct,desktop,Europe,evening,2213,31,103
referral,desktop,Asia,night,2192,38,104
referral,desktop,Asia,afternoon,2189,37,100
referral,desktop,Asia,morning,2184,40,96
referral,desktop,Asia,evening,2127,34,94
other,desktop,Europe,afternoon,2056,32,101
other,desktop,Europe,morning,2037,25,115
direct,mobile,Asia,morning,2026,17,70
other,desktop,Europe,night,1990,33,101
other,desktop,Europe,evening,1972,33,91
direct,mobile,Asia,afternoon,1960,26,72
direct,mobile,Asia,night,1949,26,84
direct,mobile,Asia,evening,1936,29,75
other,mobile,Asia,evening,1771,34,89
other,mobile,Asia,afternoon,1749,26,72
referral,desktop,Europe,evening,1748,32,74
other,mobile,Asia,morning,1745,37,83
referral,desktop,Europe,afternoon,1728,30,75
other,mobile,Asia,night,1720,22,62
referral,desktop,Europe,night,1705,20,75
referral,desktop,Europe,morning,1674,23,84
direct,mobile,Europe,morning,1635,24,75
direct,mobile,Europe,night,1568,20,79
referral,mobile,Asia,morning,1532,26,74
referral,mobile,Asia,evening,1508,30,74
referral,mobile,Asia,afternoon,1502,30,65
direct,mobile,Europe,afternoon,1462,18,59
direct,mobile,Europe,evening,1460,19,51
other,mobile,Europe,evening,1426,26,70
referral,mobile,Asia,night,1408,18,58
other,mobile,Europe,afternoon,1391,23,73
other,mobile,Europe,night,1356,24,62
