Session_ID,Intent,Referrer,Device,Time_of_Day,Category,Search_Used,Search_Query,Scroll_Depth,Product_Views,Filter_Used,Sort_Type,Session_Duration_sec,Add_to_Cart,Purchase
1,Explorer,Instagram,Tablet,Evening,Electronics,False,,89,19,False,Trending,845,False,False
2,Explorer,Direct,Tablet,Evening,Beauty,False,,90,16,False,Trending,661,False,False
3,Research,Email,Desktop,Evening,Home,False,,52,10,True,Price Low-High,838,False,False
4,Explorer,Facebook,Tablet,Evening,Electronics,False,,89,11,False,Trending,864,False,False
5,Research,Google,Desktop,Morning,Fashion,False,,72,8,True,Highest Rated,680,False,False
6,Research,Direct,Desktop,Afternoon,Beauty,False,,73,9,True,Highest Rated,908,True,False
7,Explorer,Facebook,Mobile,Afternoon,Electronics,False,,83,15,False,Trending,789,False,False
8,Explorer,Facebook,Mobile,Afternoon,Running,False,,82,10,False,Trending,312,False,False
9,Research,Direct,Desktop,Morning,Sale,True,discount,80,12,True,Highest Rated,526,True,False
10,Explorer,Instagram,Mobile,Morning,Running,False,,99,10,False,Trending,546,False,False
11,Goal-driven,Google,Mobile,Morning,Electronics,True,wireless headphones,40,5,False,Relevance,102,True,False
12,Research,Direct,Desktop,Evening,Fashion,False,,67,13,True,Highest Rated,855,False,False
13,Price-sensitive,Google,Tablet,Evening,Sale,True,discount,50,5,True,Price Low-High,248,False,False
14,Research,Email,Desktop,Evening,Running,True,running shoes,80,11,True,Highest Rated,918,True,True
15,Price-sensitive,Direct,Desktop,Evening,Sale,False,,58,10,True,Price Low-High,512,True,False
16,Goal-driven,Google,Mobile,Evening,Beauty,True,skincare,30,6,True,Relevance,211,True,True
17,Goal-driven,Google,Mobile,Morning,Beauty,True,lipstick,45,2,False,Newest,202,True,True
18,Price-sensitive,Google,Tablet,Afternoon,Sale,False,,56,7,True,Price Low-High,447,True,True
19,Explorer,Facebook,Mobile,Evening,Running,False,,98,15,False,Trending,436,False,False
20,Research,Direct,Desktop,Afternoon,Home,False,,69,12,True,Highest Rated,416,False,False
21,Explorer,Direct,Tablet,Morning,Sale,False,,99,11,False,Trending,612,False,False
22,Price-sensitive,Email,Desktop,Afternoon,Sale,False,,55,6,True,Price Low-High,296,True,False
23,Price-sensitive,Direct,Mobile,Morning,Sale,False,,51,8,True,Price Low-High,472,True,False
24,Goal-driven,Google,Desktop,Morning,Running,True,nike shoes,25,5,False,Newest,179,False,False
25,Price-sensitive,Direct,Desktop,Morning,Sale,False,,48,9,True,Price Low-High,273,True,True
26,Price-sensitive,Direct,Mobile,Morning,Sale,False,,42,5,True,Price Low-High,485,False,False
27,Price-sensitive,Direct,Desktop,Morning,Sale,False,,48,10,True,Price Low-High,265,False,False
28,Explorer,Instagram,Desktop,Afternoon,Fashion,False,,96,18,False,Trending,622,False,False
29,Explorer,Instagram,Mobile,Morning,Electronics,False,,92,15,False,Trending,334,False,False
30,Price-sensitive,Google,Mobile,Evening,Sale,True,discount,45,9,True,Price Low-High,309,False,False
31,Price-sensitive,Direct,Mobile,Evening,Sale,False,,69,7,True,Price Low-High,585,False,False
32,Research,Google,Desktop,Morning,Home,True,chair,80,9,True,Price Low-High,442,True,True
33,Price-sensitive,Direct,Desktop,Evening,Sale,False,,68,8,True,Price Low-High,435,False,False
34,Goal-driven,Google,Desktop,Morning,Beauty,True,perfume,36,3,True,Relevance,220,True,True
35,Goal-driven,Google,Desktop,Afternoon,Beauty,True,lipstick,33,4,True,Relevance,134,True,False
36,Price-sensitive,Email,Mobile,Afternoon,Sale,True,discount,68,6,True,Price Low-High,502,True,False
37,Research,Direct,Desktop,Afternoon,Running,True,adidas trainers,79,8,True,Highest Rated,997,True,False
38,Research,Email,Desktop,Evening,Fashion,False,,61,11,True,Highest Rated,940,False,False
39,Goal-driven,Google,Mobile,Morning,Electronics,True,wireless headphones,39,6,True,Relevance,103,True,True
40,Goal-driven,Google,Mobile,Evening,Electronics,True,monitor,22,2,False,Newest,242,False,False
41,Price-sensitive,Direct,Tablet,Afternoon,Sale,True,discount,49,10,True,Price Low-High,350,True,True
42,Explorer,Facebook,Tablet,Evening,Fashion,False,,88,15,False,Trending,638,False,False
43,Research,Email,Desktop,Afternoon,Beauty,True,lipstick,72,12,True,Highest Rated,753,True,False
44,Goal-driven,Google,Desktop,Evening,Running,True,adidas trainers,30,2,True,Relevance,244,False,False
