Session_ID,Referrer,Device,Category,Scroll_Depth,Product_Views
1,Instagram,Mobile,Sale,42,13
2,Instagram,Tablet,Electronics,37,8
3,Instagram,Desktop,Home,94,8
4,Instagram,Tablet,Fashion,77,11
5,Direct,Mobile,Sale,31,2
6,Instagram,Tablet,Fashion,67,1
7,Email,Mobile,Fashion,61,9
8,Instagram,Desktop,Fashion,88,4
9,Email,Mobile,Fashion,24,8
10,Google,Mobile,Sale,84,13
11,Facebook,Tablet,Fashion,67,5
12,Instagram,Mobile,Sale,57,11
13,Google,Tablet,Sale,40,3
14,Email,Mobile,Beauty,44,1
15,Instagram,Mobile,Electronics,70,5
16,Google,Mobile,Electronics,88,14
17,Direct,Desktop,Electronics,13,12
18,Facebook,Desktop,Sale,33,2
19,Direct,Tablet,Running,42,7
20,Email,Mobile,Home,17,15
21,Google,Mobile,Fashion,70,4
22,Email,Tablet,Electronics,28,14
23,Instagram,Desktop,Running,62,5
24,Direct,Mobile,Home,20,14
25,Instagram,Tablet,Home,43,10
26,Direct,Mobile,Electronics,30,12
27,Direct,Mobile,Home,14,14
28,Google,Tablet,Fashion,45,2
29,Instagram,Desktop,Electronics,45,5
30,Facebook,Mobile,Fashion,72,7
31,Facebook,Desktop,Fashion,24,12
32,Direct,Desktop,Home,73,8
33,Instagram,Tablet,Fashion,64,9
34,Email,Mobile,Running,15,3
35,Email,Desktop,Running,17,13
36,Direct,Tablet,Electronics,50,14
37,Instagram,Desktop,Sale,48,7
38,Google,Tablet,Sale,82,11
39,Direct,Desktop,Running,32,7
40,Email,Tablet,Sale,80,7
41,Direct,Desktop,Running,58,7
42,Email,Mobile,Beauty,69,5
43,Direct,Tablet,Beauty,47,1
44,Direct,Desktop,Beauty,48,15
45,Email,Mobile,Electronics,55,13
46,Facebook,Tablet,Home,66,6
47,Email,Desktop,Sale,84,2
48,Instagram,Tablet,Running,27,1
49,Email,Mobile,Sale,57,11
50,Email,Mobile,Fashion,100,11
51,Direct,Mobile,Running,98,13
52,Facebook,Desktop,Running,26,4
53,Google,Mobile,Home,18,12
54,Direct,Desktop,Sale,23,10
55,Direct,Tablet,Running,75,9
56,Email,Tablet,Fashion,87,4
57,Google,Desktop,Sale,48,7
58,Facebook,Tablet,Running,76,9
59,Facebook,Desktop,Home,46,2
60,Google,Mobile,Electronics,93,8
61,Instagram,Desktop,Running,23,8
62,Google,Desktop,Beauty,15,5
63,Instagram,Tablet,Fashion,83,14
64,Google,Mobile,Electronics,91,2
65,Email,Mobile,Home,54,15
66,Facebook,Desktop,Beauty,49,14
67,Google,Desktop,Beauty,17,14
68,Email,Desktop,Home,70,14
69,Direct,Mobile,Beauty,22,3
70,Email,Tablet,Running,43,10
71,Google,Tablet,Home,76,4
72,Instagram,Desktop,Sale,92,14
73,Facebook,Mobile,Beauty,16,7
74,Email,Tablet,Fashion,59,9
75,Facebook,Tablet,Electronics,44,12
76,Instagram,Mobile,Beauty,19,12
77,Direct,Mobile,Fashion,89,5
78,Instagram,Desktop,Fashion,53,5
79,Google,Desktop,Electronics,93,1
80,Facebook,Tablet,Running,42,12
81,Direct,Mobile,Fashion,44,5
82,Email,Tablet,Sale,64,8
83,Direct,Desktop,Sale,100,2
84,Google,Desktop,Running,13,5
85,Direct,Mobile,Beauty,75,12
86,Email,Tablet,Electronics,15,15
87,Direct,Desktop,Electronics,56,13
